id,Message text,Текст Сообщения,Тематика,Ответственное лицо,Категория,Kategory
1077,"Hello. I wanted to call a doctor at home (I fell ill, my temperature rose). I called the front desk, they didn't pick up the phone. As a result, I came to the polyclinic personally and I was sent to an office where people with signs of a cold are taken. There was a line of 30 people in this office, and it moved very, very slowly. Since my health was not important to stand there until the end of the day, I left. Then I went to the reception to call the doctor from there, it was around 12:30. They said that I was late, since the doctor's appointment at home takes place from 8 to 12. During this period of time, I called the reception in the hope that they would answer me. Therefore, I have a complaint, firstly, that it is impossible to call a doctor at home. Secondly, the office for examining people with signs of a cold has such a queue,","<p>Здравствуйте. Хотел вызвать врача на дом (заболел, поднялась температура). Звонил в регистратуру, там не брали трубку. В итоге пришёл в поликлинику лично и меня направили в кабинет, в котором принимают людей с признаками простуды. Очередь в этот кабинет была из 30 человек, а продвигалась она крайне-крайне медленно. Поскольку мое самочувствие было не важное, чтобы выстоять там до конца дня, я ушёл. Потом направился в регистратуру, чтобы уже оттуда вызвать врача на дом, было это где-то в 12:30. Там сказали, что я опоздал, так как запись врача на дом происходит с 8 до 12. В этот период времени я звонил в регистратуру в надежде, что мне ответят. Поэтому у меня есть претензия, во-первых, к тому, что не получается вызвать врача на дом. Во-вторых, кабинет на осмотр людей с признаками простуды имеет такую очередь, из-за которой тебя примут в конце дня (надо тогда больше врачей, которые будут в этом задействованы)</p>",Неудовлетворительное качество оказания медицинской помощи,Комитет здравоохранения Курской области,4,Another
547,"Good afternoon. I ask that the appeal of 24.06 about poor-quality medical care be considered irrelevant. I apologize. In this case, the pensioner did not hear the doorbell. Thanks",<p><strong>Добрый день. Прошу обращение от 24.06 о некачественной медицинской помощи с</strong>читать неактуальным. Приношу извинения. В данном случае пенсионер не услышал звонок в дверь. Спасибо</p>,Неудовлетворительное качество оказания медицинской помощи,Комитет здравоохранения Курской области,4,Another
2122,"Boards, broken glass and frames have been lying next to the garbage containers for 2 weeks already. And this happens all the time.","Доски,битые стёкла и рамы валяются рядом с мусорными контейнерами уже 2 недели.И так происходит постоянно.Напишешь вам на сайт или на сайт Старовойту-уберут,до следующего раза.А потом все сначала.",Несанкционированные свалки твёрдых бытовых отходов,Администрация города Курска,16,Another
714,"When will the DPS POST start working in Lgov? It's time to start working and ensure traffic safety. You have a wonderful brick building, insert windows and put two traffic police officers in place. I hope that this post of DPS will resume its work.","<p>Когда в г.Льгов начнет работать ПОСТ ДПС ?</p><p>Пора уже начать работать и обеспечивать безопасность движения.</p><p>У Вас есть замечательная кирпичная постройка, вставьте окна и поставьте вы два сотрудника ДПС.&nbsp;</p><p>Надеюсь что данный пост ДПС возобновит свою работу.</p>",Дорожные знаки на дорогах в границах городских округов и сельских поселений,Администрация города Льгов,0,Another
1432,"Since the beginning of the winter season, the road leading from Klykov Avenue past houses 35a and 35 has not been cleaned even once. There is a huge ice track, sprinkled with snow porridge. It is simply impossible to move safely there, the car drives in all directions. People also cannot safely cross the road, because they can simply slip under the wheels of the car. Also, this site belongs to one of several paths to school 58, along which parents and children drive all day. The unsatisfactory condition of the road compromises their safety.","<p>С начала зимнего сезона дорога, идущая от проспекта Клыкова мимо домов 35а и 35 не чистилась ни разу. Там огромная ледяная колея, присыпанная снежной кашей. Безопасно передвигаться там просто невозможно, машину ведет во все стороны. Люди тоже не могут безопасно перейти дорогу, потому что могут просто соскользнуть под колеса машины. Также этот участок принадлежит к одному из нескольких путей до школы 58, по которому целыми днями ездят родители с детьми. Неудовлетворительное состояние дороги нарушает их безопасность.</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
1186,Potholes on adjacent road,<p>Ямы на прилегающей дороге</p>,Нарушение дорожного покрытия (ямы) на дорогах в микрорайонах ИЖС,Комитет дорожного хозяйства города Курска,0,Another
2023,"Hello, we kindly ask you to repair this road, there are holes not just the size of a wheel, but the size of a car","Здравствуйте, очень просим отремонтировать эту дорогу, там дыры размером не просто с колесо, а размером с машину просто",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Another
303,"For several years already, sometimes, I feel a sharp chemical smell in the air, as if some kind of burning, I decided that I would report such cases, usually the smell appears in the evening at night, at night and early in the morning, too, sometimes you feel that you can’t open the window, I felt and April 14, 2021 at 21:00 approximately. I suspect that this is the smell from the processing of lead scrap.","<p>Несколько лет уже, иногда, чувствую резкий химический запах в воздухе, как будто какой-то гари, решил что буду сообщать о таких случаях, обычно запах появляется вечером в темное время, ночью и рано утром тоже иногда чувствуется что окно не откроешь, чувствовал и 14.04.2021 в 21:00 примерно. Подозреваю что это запах от переработки свинцового лома.</p>",Неприятные запахи,Администрация города Курска,16,Another
2700,"Nobody cleaned the landfill, and people continue to continue ..","Свалку так никто и не убрал, а люди и дальше продолжают..",Несанкционированные свалки твёрдых бытовых отходов,Комитет городского хозяйства города Курска,16,Another
660,It is impossible to enter the parking lot to the store according to the rules of the road because a solid line is drawn.,<p>Невозможно заехать на парковку к магазину по правилам Дорожного движения т.к прочерчена сплошная линия.&nbsp;</p>,Дорожная разметка на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
379,"Dear Roman Vladimirovich! Saraevka, Zuevsky village council, Solntsevsky district of the Kursk region. We kindly ask you to instruct your subordinates, namely the head of the Solntsevsky district and the chairman of the Zuevsky village council, to make a fence around the cemetery where our fellow countrymen are buried in our village. There is nowhere such a shame, such a hedge as near the cemetery in our village (photo attached). We also ask you to remove the garbage accumulated in the cemetery and saw down dead trees and branches. I would very much like the fence to be like in other villages in our region and that the chairman of the village council would sometimes appear to us, who, since his appointment, has never been and has not been interested in the problems of the village. Thanks for understanding! Grateful residents of the village of Saraevka","<p style=`text-align:center;`>&nbsp;</p><p style=`text-align:center;`>Уважаемый Роман Владимирович!</p><p style=`text-align:justify;`>К Вам обращаются жители с. Сараевка, Зуевского сельского совета, Солнцевского района Курской области.</p><p style=`text-align:justify;`>Очень просим Вас дать поручение вашим подчиненным, а именно главе Солнцевского района и председателю Зуевского сельского совета о том, чтобы в нашем селе сделали ограждение вокруг кладбища, где покоятся наши земляки. Такого позора, такой изгороди, как около кладбища&nbsp; в нашем селе нигде нет (фото прилагается). Также просим убрать мусор, скопившийся на кладбище и попилить сухие деревья и ветки. &nbsp;Очень хотелось бы чтобы ограждение было как в других селах нашего района и чтобы к нам хоть иногда появлялся председатель сельского совета, который&nbsp; с момента его назначения ни разу не был и не интересовался проблемами села.&nbsp;</p><p style=`text-align:justify;`>Спасибо за понимание! Благодарные жители села Сараевка</p>",Неудовлетворительное санитарное состояние и благоустройство памятников,Администрация Солнцевского района,5,3
1547,"Good afternoon. The driver parked his car on the ground without artificial turf, which violated Article 28 of the WKO. The violation was detected on February 17, 2022 at about 10:29 am along Khrushchev Avenue, opposite the auto parts store located at Khrushchev Avenue 21a. I am attaching a photo with the date and time from all angles. Please hold the driver accountable.","<p>Добрый день. Водитель припарковал свой автомобиль на земле без искусственного покрытия, чем нарушил ст28 ЗКО. Нарушение выявлено 17.02.2022г около 10:29 по проспекту Хрущева, напротив магазина автозапчастей, расположенного по адресу пр Хрущева 21а. Прилагаю фото с датой и временем со всех ракурсов. Прошу привлечь водителя к ответственности.</p>",Парковки на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
132,"Hello. In general, I am satisfied with the staff of the 5th children's clinic. However, I would like to draw your attention to the fact that this polyclinic, like many others, does not issue prescriptions for preferential drugs. At the moment my child is ill, she is 1 year old. The doctor prescribed us antiviral, antipyretic suppositories, vasoconstrictor drops, cough syrup and maltofer, since hemoglobin is lower. All these drugs were given to us free of charge, but the only prescription we got was cough syrup and ibuprofen. The rest said no. It's not the first time I've encountered this, and I don't understand what's going on. If these drugs are prescribed by law, then why not! Or is it saving on suits: in a polyclinic or a committee. Now I have to go and buy everything at my own expense, this is not a small amount of money. Please look into this matter and check accordingly.","<p>Здравствуйте. В целом я удовлетворена персоналом 5 детской поликлиники. Однако хочу обратить внимание на то, что в этой поликлинике, как и во многих других, не выписывают рецепты на льготное получение препаратов. На данный момент у меня заболел ребёнок, ей 1 год. Врач выписала нам свечи противовирусные, жаропонижающие, капли сосудосудивающие, сироп от кашля и мальтофер, так как пониже гемоглобин. Всё эти препараты положены нам бесплатно, но по рецепту нам выписали только сироп от кашля и ибупрофен. Остального сказали что нет. Я не первый раз с эти сталкиваюсь, и не понимаю что происходит. Если эти препараты предусмотрены законом, то почему их нет! Или это экономия на мастах: в поликлинике или комитете. Сейчас я вынуждена пойти и за свой счёт все купить, это не малые деньги. Прошу разобраться в данном вопросе, провести соответствующую проверку, что бы впредь получать все необходимые и положенные препараты.&nbsp;</p>",Неудовлетворительное качество оказания медицинской помощи,Комитет здравоохранения Курской области,4,Another
673,"after even short rains, our house at 25 Kulakov Ave. constantly floods. A continuous flood near the house (do not go to the apartment) and also floods the basement. There is constant dampness in the basement. There is an unpleasant smell in the apartments. PLEASE HELP",<p>после даже непродолжительных дождей наш дом по пр.кулакова 25 постоянно заливает.</p><p>Сплошной потоп возле дома (не пройти к квартире) а также заливает подвальное помещение.</p><p>В подвале постоянная сырость.В квартирах неприятный запах.ЖКО НЕ РЕАГИРУЕТ НА ПРОБЛЕМУ</p><p>КОТОРАЯ ДЛИТСЯ УЖЕ НЕСКОЛЬКО ЛЕТ . ПРОШУ ВАС ПОМОЧЬ&nbsp;</p>,Длительное неисполнение заявок управляющей компанией,Государственная жилищная инспекция Курской области,3,Another
32,"I ask you to install a stopping pavilion (railway station). Recently there was an accident there and so that this does not happen again, I ask you to install a sign there and at least a reinforced concrete slab, and then install the pavilion itself.","<p>Прошу Вас установить остановочный павильон&nbsp;<br>(жд вокзал). Недавно там произошло ДТП и что бы впредь такого не повторялось прошу Вас там установить знак и хотя бы ж/б плиту , а сам павильон уже потом установите.</p>",Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Администрация города Льгов,8,Another
1055,"If it is impossible to make a decent road with consecration and diversion of water this year…. Obviously in the village live SCAMBLING SOCIETY. Since there is no Internet either in Polevaya or in Upper Gutorovo even more so .... But if there is no road, what kind of Internet are we talking about ...?! Maybe this year it is possible to fill up at least a few screening machines .... Come, dial me on the phone. I'll show you everything. And the place where we smashed the car and its undercarriage… something needs to be covered. Otherwise, we will write further. Since there is no strength to swallow dust and crash the car too. +79102183717 Sincerely, Raisa Vladimirovna Shtots. And all the connecting seams in the bridge parts with huge holes and cracks. The road from Kursk to Polevaya is more or less normal without holes. But the road between Polevaya and Solntsevsky district is terrible!!!!! Why is there a new canvas in the Sunshine Region??!! And in Polevaya, obviously, human garbage lives.","<p>Если невозможно сделать достойную дорогу с освящение и отведением воды в этом году…. Очевидно в деревне живут ОТБРОСЫ ОБЩЕСТВА. Так как интернета нет ни в Полевой, ни в Верхнем Гуторово подавно…. Но если нет дороги, о какое интернете речь…?! Может в этом году возможно засыпать хотя-бы несколько машин отсева…. Приезжайте, наберите меня по телефону. Я все покажу вам. И то, где мы разбили машину и её ходовую часть… засыпать что то нужно. Иначе, мы будем писать дальше. Так как сил нет глотать пыль и разбивать машину тоже.&nbsp;</p><p>+79102183717</p><p>С уважением, Раиса Владимировна Штоц. И все стыковочные швы в мостовых частях с огромными пробоинамт и щелями.Дорога от Курска до Полевой более менее нормальная без ям. Но дорога между Полевой до Солнцевского района ужасная!!!!! Почему в Солнцнвскрм районе новое полотно??!! А в Полевой, очевидно живёт человеческий мусор. Просим вас разобраться и внести ясность в состояние дорог в с Полевая, Гуторово и Верхнее Гуторово.&nbsp;</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация Курского района,0,Another
781,"I would like that would be a bardyur on the stop. The turn was painted green and yellow. I will also ask you to hang a sign on an iron pipe, which is located at the “TURN” stop, so the sign will feel safer, you yourself understand that road signs are being stolen from us. I would also like you to remove all rubble and sand from the bus stops.","<p>Хотелось бы что бы бардюр на ост. Поворот покрасили в зелёный и жёлтый цвета. Также попрошу вас повесить знак на железную трубу, которая расположена на остановке “ПОВОРОТ”, так знак будет себя чувствовать безопасней, вы сами понимаете что у нас крадут дорожные знаки. Также хотелось что бы вы убрали весь щебень и песок с остановок.&nbsp;</p><p><br data-cke-filler=`true`></p>",Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Администрация города Льгов,8,Another
1750,"They want to demolish the Red Bridge! Again, someone's greed, the desire for profit destroys the ability of thousands of people living in the Seimsky district to go to a beautiful pine forest with many beautiful paths, destroys walking, running and cycling routes. How can the bridge - for scrap!? HOW??? I don't want to live in a country where the soul is sold for money! Why are there people in Russia who want to spoil everything, break it, spit in their souls for money! We really need the intervention of our government! SAVE THE BRIDGE!","<p>Хотят снести Красный мост! О<span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>пять чья-то жадность, стремление наживы разрушает возможность тысяч людей, живущих в Сеймском округе ходить в прекрасный сосновый лес со множеством красивых дорожек, уничтожает пешеходные, беговые и велосипедные маршруты. Как можно мост - на металлолом!? КАК??? Не хочу жить в такой стране, в которой душу продают за деньги! Почему в России есть люди, желающие все изгадить, сломать, плюнуть в душу за деньги! Очень нужно вмешательство нашей власти! СПАСИТЕ МОСТ!</span></p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Администрация Сеймского округа города Курска,0,Another
1616,"Hello, I ran into such a problem that in the applications of Russian Railways and TsPPK there is no timetable for the Kursk-Voronezh-Kursk train. In the official application of the CPPK, this train is listed on the Kursk-Kastornoye route, in the Russian Railways application you can see the schedule for only 1 day. I ask you to study this issue with the heads of the companies and drive the correct train schedule into the program. People get confused and don't know what to eat when.","<p>Здравствуйте&nbsp;</p><p>Столкнулся с такой проблемой что в приложениях РЖД и ЦППК нет расписания электрички Курск - Воронеж-Курск.&nbsp;</p><p>В официальном приложении ЦППК данная электричка числится по маршруту Курск-Касторное, в приложении РЖД можно посмотреть расписание только на 1 день. Прошу Вас проработать данный вопрос с руководителями компаний и вбить в программу правильное расписание поездов. Люди путаются и незнают что когда едит.&nbsp;</p>",Неудобный график движения пригородного ж/д транспорта,Комитет транспорта и автомобильных дорог Курской области,8,Another
1512,"I am Ekaterina Alexandrovna Demina. Please pay attention. From the moment of precipitation, and until the present moment on February 9, 22, snow removal has not been carried out on the streets of the village of Voroshnevo. I believe that unremoved snow is a danger to both drivers and pedestrians. Here are ( bumps, pits, ruts, UNCLEARED SNOW) which reduces the safety of residents. I believe that a street not cleared of snow is the result of inaction and negligence of those responsible for maintaining this street. In connection with the above, I ask you to take action. Oblige responsible persons to take the necessary measures to bring the traffic situation back to normal","<p>Я Дёмина Екатерина Александровна .Прошу Вас обратить внимания.С момента выпадения осадков,и до настоящего момента 09.02.22,на улицах деревни Ворошнево &nbsp;,не осуществляется уборка снега .Считаю что неубранный снег представляет опасность как для водителей так и для пешеходов.Здесь находятся (неровности,ямы ,колея,НЕУБРАННЫЙ СНЕГ)который снижает безопасность жителей.Я считаю что не очищенная от снега улица ,следствия бездействия и халатность лиц ,ответственных за содержание данной улицы . &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; В связи с выше указанным прошу принять меры .Обязать ответственных лиц,принять необходимые меры,приведения дорожной обстановки в норму&nbsp;</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация Курского района,0,Another
610,"They made the road, many thanks for that! But after they didn’t complete the improvement of the lawn, it’s also a problem to approach the garbage site. When replacing the curbstone, they dug up the ground, but apparently there was nothing to fill it with ....","<p>Сделали дорогу, огромная за это благодарность!</p><p>Но после не завершили благоустройство газона, к мусорной площадке подойти тоже проблема.&nbsp;</p><p>При замене бордюрного камня, разрыли землю, а вот засыпать видимо было не чем….</p>",Незавершенное благоустройство после сдачи  строительного объекта в эксплуатацию,Комитет дорожного хозяйства города Курска,11,Another
1445,"I am writing again about the unsatisfactory snow removal at the Suvorovskaya bus stop. Earlier I wrote appeal 147793. The pocket for the minibus was cleaned, but how can people approach the minibus through the mountains of snow that remain on the edge of the bucket that cleans the road? Big pile of snow! Ice under the snow! Stepping over a pile of snow is hard and dangerous! Can you properly clean the stop??? Opposite this stop, the sidewalk is difficult to approach because it is also littered with snow along the edge, which lies in a hill and in order to get to the sidewalk part, you need to overcome a mountain of snow! Plus a stop without lighting (the photo doesn’t convey the whole dark!)","<p>Повторно пишу по поводу неудовлетворительной уборке снега на остановке Суворовская. Ранее писала обращение 147793. Карман для маршрутки почистили, но как людям подходить к маршрутке через горы снега, которые остаются с краю от ковша, который чистит дорогу? Груда снега немаленькая! Под снегом лёд! Перешагивать груду снега тяжело и опасно! Вы можете нормально почистить остановку??? Напротив этой остановки тротуар к которому тяжело подойти потому что он тоже по краю завален снегом, который лежит горкой и чтобы попасть на тротуарную часть, нужно преодолеть гору снега! Плюс остановка без освещения (фото всю темно у не передаёт!)&nbsp;</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
1911,"The administration of the city of Kursk NEVER (!!!) removes snow from the roadway of intra-block passages of residential development in the area of ​​​​houses 187, 189, 185, 191 on the street. Fighters of the 9th Division of the city of Kursk, which are municipal property, which makes it impossible to move in residential areas to houses 199, 189a, both personal vehicles and emergency vehicles, and endangers the lives and health of people. Take immediate action!!!","Администрацией города Курска НИКОГДА (!!!) не производится очистка от снега проезжей части внутриквартальных проездов жилой застройки в районе домов 187, 189, 185, 191 по ул. Бойцов 9 Дивизии г. Курска, являющихся муниципальной собственностью, что делает невозможным передвижение в жилой застройке к домам 199, 189а, как личного автотранспорта, так и автомобилей экстренных служб и ставит под угрозу жизни и здоровье людей. Срочно примите меры!!!",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация города Курска,0,Another
674,"The installation of speed bumps is required on the street. There are many children, drivers do not follow the speed limit.","<p>На улице требуется установка “лежачих полицейских”. Много детей, водители не соблюдают скоростной режим. &nbsp;</p>",Искусственные неровности на дорогах в границах городских округов и сельских поселений,Администрация Глушковского района,0,Another
1479,When will the solid waste landfill in Chaplygina village (2 km from the city of Kursk) be reclaimed?,<p>Когда будет рекультивирован полигон ТБО в д. Чаплыгина (в 2 км от черты г. Курска) ?</p>,Неприятные запахи,Комитет жилищно-коммунального хозяйства и ТЭК Курской области,16,Another
2913,"Lighting does not work on Narodnaya, 14","Не работает освещение на Народной, 14",Освещение дорог в границах городских округов и сельских поселений,Комитет жилищно-коммунального хозяйства города Курска,0,Another
1522,"Hello. On behalf of all residents of the village of Dichnya, I ask you to help with snow removal on the roads of the village. Have us for entire winter 1 times have cleaned snow. There is no equipment, either they don’t put money into the budget for these purposes, or they just write on paper that they clean the money for themselves. Now part of the snow has melted, a rut has formed on the roads, it is impossible to drive, let alone walk, and we have a lot of elderly people, how can they get to a store or a pharmacy. By the time you get home by car, you will damage the entire bottom, who will compensate for this. I ask you to influence the mayor of the Dichnyansky s / s so that he takes up his duties, and not just sits in his office and does not answer for anything.","<p>Здравствуйте. От лица всех жителей села Дичня, прошу помочь с уборкой снега на дорогах села. У нас за всю зиму 1 раз почистили снег. Техники нет, деньги то-ли не закладывают в бюджет на эти цели, то ли просто на бумаге пишут, что чистят и деньги себе. &nbsp;Сейчас растаяла часть снега, на дорогах образовалась колея, невозможно проехать не то что бы пройти, а у нас много пожилого населения, как им дойти до магазина или аптека. Пока на машине доедешь до дома все днище повредишь, кто это компенсирует. Прошу повлиять на мэра Дичнянского с/с, что бы он занялся своими обязанностями, а не просто сидел в кабинете и ни за что не отвечал.&nbsp;</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация Курчатовского района,0,Another
2071,"Hello, a huge pit on the road, which turns into an ocean during rain, please repair the pavement","Здравствуйте, огромная яма на дороге, которая во время дождя превращается в океан, прошу осуществить ремонт дорожного покрытия",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Another
1460,The road has not been cleared along Zheleznodorozhnaya Street.,<p>По улице Железнодорожная не прочищена дорога.</p>,Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация города Щигры,0,Another
2741,"How long will traffic jams continue in the direction of Deriglazov in the evening before the turn to the metro? Now from September 1, and in the morning there will be traffic jams again. How long can this be tolerated? They promised to make the road and silence!","Сколько будут продолжаться пробки в сторону Дериглазова вечером до поворота на метро?  Сейчас с 1 сентября, и утром снова пробки будут.  Сколько можно это терпеть? Обещали дорогу ещё сделать и тишина!",Светофоры на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
2386,"Hello. I have already applied from the residents of the village of Lugovka, Lugovaya St., we have 25 households, mostly pensioners live, we have a dirt road that has become impossible to drive, residents have to call an ambulance, but an all-terrain vehicle can get to us, and even then not always. Children and relatives come to be late for help, but they have to leave the equipment a kilometer away. All you need is a grader or tractor to level the tracks. Thanks in advance for your help.","Здравствуйте. Я уже обращался от жителей деревни Луговка, ул Луговая, у нас 25 домовладений, живут в основном пенсионеры, у нас грунтовая дорога, которая пришла в состояние невозможности проехать, жителям приходится вызывать скорую помощь, но проехать к нам может вездеход и то не всегда. Приезжают дети и родственники для опоздания помощи, но им приходится оставлять технику за километр. Нужен всего лишь грейдер или трактор, чтобы выравнять колеи. Заранее спасибо за помощь.",Отсутствие твёрдого дорожного покрытия на дорогах в границах городских округов и сельских поселений,Администрация Мантуровского района,0,Another
1167,"Residents of the house on the street. The Red Army 28 breed poultry on the land intended for individual housing construction, the bird makes noise at night and does not allow others to sleep.","<p>Жители дома по ул. Красной армии 28 разводят домашнюю птицу на земле предназначенной для ИЖС, птица издает шум ночью и не дает спать окружающим.&nbsp;</p>",Порча земель,Администрация Центрального округа города Курска,16,Another
1369,"For a month, they have never been able to get through to social protection to find out about the necessary documents for applying for child benefits. Is it possible to call them at all on other numbers.",<p>За месяц ни разу не смогли дозвониться до социальной защиты чтобы узнать о необходимых документов для подачи оформления детских пособий. Возможно ли вообще к ним дозвониться может по другим номерами.</p>,Нарушения в вопросах назначения и выплат пособий и компенсаций,Администрация Суджанского района,10,Another
357,littered area for the collection of solid waste,<p>Захламлена площадка для сбора ТБО</p>,Некачественная уборка дворовой территории многоквартирных домов,Администрация города Курска,3,Another
2253,"At the intersection of Gogol and Lenin streets, a traffic light for pedestrians does not work",На перекрестке улиц Гоголя и Ленина не работает светофор для пешеходов,Светофоры на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Another
873,"Good afternoon. The pedestrian bridge from Skoryatina Street to Shchemilovka is in a terrible state. Full of garbage, overgrown with grass, broken steps. A lot of children go through it to 18 and 2 schools. Tidy up, please.","<p>Добрый день. Пешеходный мост с улицы Скорятина на Щемиловку в ужасном состоянии. Полон мусора, зарос травой, сломоны ступени. Очень много детей ходят через него в 18 и 2 школы. Приведите в порядок, пожалуйста.</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
1712,"Hello Recently, I was “lucky” to ride a FORD minibus state number As284-46. I can make a mistake with the number, for clarification: the date of the trip is April 20, 2022, the Kursk-Tetkino route, departure from Kursk at 10:00. I do not know how this vehicle passed control for work on intercity routes, when it is not convenient and safe to move in this vehicle. Violations: the emergency exit (back door) is filled with seats, i.e. in the event of an accident, passengers will be trapped and will not be able to evacuate. It is impossible to drive in the back row, there is very little space between the seats. What work you need to do: Remove the seats from the rear rows, namely those seats that prevent the evacuation of passengers. Expand the seats (facing the aisle but not the march of traffic) so that passengers will travel in comfort. Please send confirming photos that all the shortcomings have been corrected. We should not forget the case in Voronezh and other cities when passengers did not have time to evacuate. I hope for understanding from the carrier and from the transport committee.","<p>Здравствуйте&nbsp;</p><p>Недавно мне “посчастливилось” &nbsp;проехать на маршрутке ФОРД гос.номер Ас284-46. Могу ошибиться с номером, для уточнения:</p><ul><li>&nbsp;дата поездки 20 апреля 2022 года</li><li>&nbsp;маршрут Курск- Теткино, отправление с Курска в 10:00.&nbsp;</li></ul><p>Я незнаю как данное автотранспортое средство проходило контроль на работы в междугородние маршруты, когда в данном транспортном средстве не удобно и не безопасно передвигаться.&nbsp;</p><p>Нарушения :</p><ol><li>запасной выход (задняя дверь) заставлена сиденьями, т.е.в случае ДТП пассажиры окажутся в ловушке и не смогут эвакуироваться.&nbsp;</li><li>На заднем ряду невозможно ехать, очень мало места между сиденьями</li></ol><p>Какую работу вы должны сделать:</p><ol><li>Убрать сиденья с задних редов, а именно те сиденья которые препятствуют эвакуации пассажиров</li><li>Перепланировать задний ряд таким образом что бы пассажиры смогли ехать не в тесноте а в нормальных условиях. Развернуть сиденья (лицом в проход но не походу движения) тем самым пассажиры будут ехать в комфорте&nbsp;</li></ol><p>Прошу прислать подтверждающие фото о том что все недочеты исправлены. &nbsp;Не надо забывать случай в Воронеже и в других городах, когда пассажиры не успевпли эвакуироваться.&nbsp;</p><p>Надеюсь на понимание со стороны перевозчика и со стороны комитета транспорта.&nbsp;</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении внутриобластных междугородных перевозок,Комитет транспорта и автомобильных дорог Курской области,8,Another
