id,Message text,Текст Сообщения,Тематика,Ответственное лицо,Категория,Subject
2038,"In the area of ​​\u200b\u200bthe house 3/3 along the factory road, there is no road near the house for driving with a stroller, there has been dirt around for almost a year! Repairs were made and nothing has been removed since then.","В районе дома 3/3 по заводскому проезду, Нет возле дома дороги для проезда с коляской, вокруг грязь уже как почти год! Провели ремонтные работы, а после этого ничего не убрали",Несвоевременное восстановление нарушенного благоустройства после проведения ремонтных работ,Администрация города Железногорска,3,Untimely restoration of disturbed landscaping after repair work
1734,"During the entire heating season of 2021-2022, the residents of the city of Rylsk and, accordingly, I among them have repeatedly faced the problem of the lack of central heating in multi-apartment residential buildings. In the absence of heating, representatives of the administration of the Rylsky district and PROM-ENERGO-SERVICE LLC each time explained that an accident had occurred in one or another section of the heating networks. Even today, there are many places on the streets of the city with open sections of heat pipelines, where earlier the employees of PROM-ENERGO-SERVICE LLC carried out some local repair work. You do not need to have any special engineering knowledge to make sure that the condition of the heating networks in the city of Rylsk is not even emergency, but rather dilapidated. From the above questions: “What works on the reconstruction or repair of heating networks are planned to be carried out in the city of Rylsk, Kursk Region, in preparation for the 2022-2023 heating season? How and by whom will the performance of these works be controlled?","<p>В течении всего отопительного сезона 2021-2022 года жители города Рыльска и, соответственно, я в их числе неоднократно сталкивались с проблемой отсутствия центрального отопления в многоквартирных жилых домах. В ситуации отсутствия &nbsp;отопления представители администрации Рыльского района и ООО “ПРОМ-ЭНЕРГО-СЕРВИС” каждый раз объясняли, что случилась авария на том или ином участке теплосетей. Даже на сегодняшний момент времени на улицах города имеется множество мест с раскрытыми участками теплопроводов, на которых ранее работниками ООО “ПРОМ-ЭНЕРГО-СЕРВИС” проводились какие-то локальные ремонтные работы. Не нужно обладать какими-то специальными инженерными познаниями, чтобы убедиться в том, что состояние теплосетей в г. Рыльске даже не аварийное, а скорее ветхое.&nbsp;</p><p>Из описанного выше вопросы: “Какие работы по реконструкции или ремонту теплосетей планируются к выполнению в г. Рыльске Курской области в рамках подготовки к отопительному сезону 2022-2023 годов? Каким образом и кем будет контролироваться выполнение данных работ?”</p>",Нарушение теплоснабжения многоквартирного дома,Администрация города Рыльска,3,Violation of the heat supply of an apartment building
270,outdoor lighting does not work up to house number 24,<p>не работает наружное освещение &nbsp;до дома № 24</p>,Неработающее наружное освещение,Администрация Курского района,3,Non-working outdoor lighting
2232,"Garbage is not removed for a long time, about two weeks","Мусор не убирается на протяжении долгого времени, около двух недель",Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,Администрация города Курска,3,Collection and removal of municipal solid waste in areas of apartment buildings that do not meet established standards
466,"The pedestrian crossing at the intersection of Gagarin - Seregina, opposite the house at Seregina 29, ends with a simply trampled lawn, which is impossible to walk on in the rain. The road along Gagarin is being shifted, so maybe it's time to put a couple of meters of asphalt here too, so that the official crossing, with signs and a zebra, a low curb, ends with a normal sidewalk, and not bare ground?","<p>Пешеходный переход на перекрёстке Гагарина - Серегина, напротив дома по адресу Серегина 29 заканчивается просто вытоптанным газоном, по которому невозможно ходить в дождь. Дорогу по Гагарина перекладывают, так может пора и тут положить пару метров асфальта, чтобы официальный переход, со знаками и зеброй, заниженным бордюром, заканчивался нормальным тротуаром, а не голой землей?&nbsp;</p>",Необходимо строительство тротуара,Администрация города Курска,3,Pavement needs to be built
825,"Good afternoon! I ask you to CANCEL the flight of the suburban bus Glushkovo-Kursk, departure from the city of Lgov at 9 hours 1 minute. Have you ever traveled on ATEL buses, and I did, and it's just hell. Let them close this route and leave. We don't need their dirty minibuses. Cancel this route and do not write in response that this will cause complaints from the passengers, that day everyone was unhappy. If you don’t put things in order and don’t cancel this route, then I will write to the Ministry of Transport and let them go with a check.","<p>Добрый день!</p><p>Прошу Вас ОТМЕНИТЬ рейс пригородного автобуса Глушково-Курск, отправлением &nbsp;города Льгова в 9 часов 1 минуту. Вы когда нибудь ездили на автобусах АТЭЛ, а я ездил, и это просто ад. Пускай они закрывают этот маршрут и уходят. Нам не нужны их грязные маршрутки. Отменяйте этот маршрут и не надо писать в ответ что это вызовет нарекания сос стороны пассажиров, в тот день все были недовольны. &nbsp;Если вы нен наведете порядок и не отмените этот маршрут то я буду писать в минтранс и пускай они едут с проверкой.</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении внутриобластных междугородных перевозок,Комитет транспорта и автомобильных дорог Курской области,8,Unsatisfactory sanitary condition of transport in the implementation of intra-regional intercity transportation
2613,"In the area of ​​\u200b\u200bhouse No. 122 on Suvorovskaya Street, a fallen tree completely blocked the sidewalk of 50 Let Oktyabrya Street",В районе дома №122 по улице Суворовской упавшим деревом полностью перекрыт тротуар улицы 50 лет Октября,Аварийные деревья,Комитет городского хозяйства города Курска,3,emergency trees
300,"unauthorized landfill for solid waste over 10 meters high at st. 2 Quiet house 1. Backfilling is carried out daily, trees have been felled in the ravine, in the future the dump will prevent the free passage of sewage (rain, melt) water, forming a dam, in addition to the above, it creates a specific smell in the nearest district. 05.04 first contacted service 112 with a request to liquidate this landfill, to which they informed that the case was taken under control. To date, the landfill continues to function, trucks are unloaded daily, a mountain of garbage is growing before our eyes.","<p>несанкционированный полигон &nbsp;твёрдых отходов &nbsp;высотой более 10 метров по адресу &nbsp;ул. 2 Тихая дом 1. Отсыпка ведётся ежедневно,повалили деревья в овраге ,в перспективе &nbsp;свалка будет препятствовать &nbsp;свободному прохождению сточных (дождевых,талых) вод ,образовав плотину,в дополнении к выше изложенному,она &nbsp; создаёт специфический запах в ближайшей округе .05.04 впервые обратились в службу 112 с просьбой ликвидировать &nbsp;данный &nbsp;мусорный &nbsp;полигон, на что сообщили.что дело взято под контроль. На сегодняшний день полигон продолжает функционировать,камазы выгружаются ежедневно,гора мусора растёт на глазах.</p>",Несанкционированные свалки твёрдых бытовых отходов,Администрация города Курска,16,Unauthorized solid waste dumps
542,"Knee-deep pits, as soon as you turn off the main road ... There is no way to drive through. These puddles were photographed a month ago","<p>Ямы по колено,как только повернешь с главной дороги…</p><p>Проехать нет возможности.</p><p>Эти лужи месяц назад были сфотографированы&nbsp;</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Violation of the road surface (pits) on the roads within the boundaries of urban districts and rural settlements
2900,Lighting not working,Не работает освещение,Неработающее наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3,Non-working outdoor lighting
2042,"Terribly dirty area near the playground at Nikitskaya 10, they never clean it, it's a shame to go to the playground with children, constant garbage, bottles, everything rots for years. Please pay attention to this in order to put the place in order.","Ужасно грязная территория в районе детской площадки по адресу никитская 10,никогла не убирают, стыдно с детьми ходить на площадку, постоянный мусор, бутылки, все гниёт годами. Прошу обратить на это внимание, чтобы привести место в порядок",Неудовлетворительное содержание детской (спортивной) площадки на территории многоквартирных домов,Администрация города Курска,3,Unsatisfactory maintenance of a children's (sports) playground on the territory of apartment buildings
2073,"Hello, there is no transition from houses on Orlovskaya street 1 and 1a to houses 4, 8 on the even side. This is the trajectory of the movement of the bulk of the inhabitants of these houses, as there are shops and a public transport stop on the other side of the street. Friendship. There are no footpaths or crossings. I ask you to make paved paths and a transition.","Здравствуйте, отсутствует переход от домов по ул Орловская 1 и 1а к домам 4, 8 по четной стороне.
Эта траектория движения основной массы жителей этих домов, тк в той стороне находятся магазины и остановка общественного транспорта по ул. Дружбы.

Отсутствуют пешеходные дорожки и переход. Прошу сделать асфальтированные дорожки и переход.",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Pedestrian crossings on roads within the boundaries of urban districts and rural settlements
126,Public transport stop Olympiyskiy shopping center in a terrible state,<p>Остановка общественного транспорта ТЦ Олимпийский &nbsp;в ужасном состоянии</p>,"Неудовлетворительное содержание фасадов зданий и сооружений, общественных мест",Администрация города Курска,3,"Unsatisfactory maintenance of facades of buildings and structures, public places"
2108,"At the pedestrian crossing near the intersection of 50 years of October and Dzerzhinsky streets, the indication of a pedestrian traffic light does not work",На пешеходном переходе в районе перекрёстка улиц 50 лет Октября и Дзержинского не работает индикация пешеходного светофора,Светофоры на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Traffic lights on the roads within the boundaries of urban districts and rural settlements
1511,"Good afternoon ! Every year (!!!), in the spring, and when it rains, a huge puddle forms in the Boomerang parking lot! Cars float in it. Because of the ice, in the spring they slip in a puddle and get stuck. I live in a house opposite the shopping center Boomerang. I see that drivers of drowned domestic tow trucks are constantly calling to the place of flooding. There are no hatches for water, where to go to all this snow from the parking lot is unclear.","<p>Добрый день ! Каждый год (!!!), весной, и когда дожди идут на стоянке Бумеранга образуется &nbsp;огромная лужа! Машины плавают в ней. &nbsp;Из-за наледи, весной буксуют в луже и застревают. Живу в &nbsp;доме напротив ТЦ Бумеранг. Вижу, что &nbsp;постоянно водители потонувших отечественных эваукуаторы вызывают на место затопления. Нет люков для воды, куда деваться всему этому снегу с парковки непонятно.</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет экономического развития Администрации города Курска,0,Violation of the road surface (pits) on the roads within the boundaries of urban districts and rural settlements
2174,"I want to inform you about the unsatisfactory work of the subscriber department of Kurskvodokanal. L / s 574744, Kursk, st. Mendeleev, d. 24, apt. 87 23.03.2021 when entering meter readings in the mobile application, Kurskvodokanal discovered that there was no cold water meter. I called the customer service department to find out what was going on. I was told that the meter was overdue and therefore turned it off in the mobile application, to which I replied that the meter is valid until April 6, and on March 25 there will be verification, after which I will send a scan of the verification certificate. On March 25, 2021, I sent a scan of the verification certificate by e-mail to the subscription department and asked to enable the possibility of entering cold water readings in the mobile application. On March 26, 2021, I received a response that all documents were accepted. During April, it was not possible to enter the reading of the cold water meter in the mobile application. 23.04. In 2021, I sent the readings of cold water and hot water meters to the subscription department and re-scanned the verification certificate. The next day, he called back and clarified whether the readings were accepted and when they would be able to enter the readings of the cold water meter. The operator answered my question that the indications were accepted, and the program is adjusted 2 times a month and everything will be corrected. At the moment, there is no receipt from Kurskvodokanal, there are zero readings in the mobile application when generating a receipt, there is no possibility to enter cold water meter readings in the application. I would like the customer service department to react better to its customers and respond to their requests. The operator answered my question that the indications were accepted, and the program is adjusted 2 times a month and everything will be corrected. At the moment, there is no receipt from Kurskvodokanal, there are zero readings in the mobile application when generating a receipt, there is no possibility to enter cold water meter readings in the application. I would like the customer service department to react better to its customers and respond to their requests. The operator answered my question that the indications were accepted, and the program is adjusted 2 times a month and everything will be corrected. At the moment, there is no receipt from Kurskvodokanal, there are zero readings in the mobile application when generating a receipt, there is no possibility to enter cold water meter readings in the application. I would like the customer service department to react better to its customers and respond to their requests.","Хочу сообщить о неудовлетворительной работе абонентского отдела Курскводоканал. 
Л/с 574744, г. Курск, ул. Менделеева, д. 24, кв. 87
23.03.2021г. при вводе показаний счетчиков в мобильном приложении Курскводоканал обнаружил, что отсутствует счетчик ХВС. 
Я позвонил в абонотдел уточнить в чем дело. Мне сказали, что счетчик просрочен и поэтому отключили его в мобильном приложении, на это я ответил, что счетчик действителен до 6 апреля, а 25 марта будет поверка, после чего я вышлю скан свидетельства о поверке. 
25.03.2021г я выслал по электронной почте в абонотдел скан свидетельства о поверке и попросил включить возможность внесения показания ХВС в мобильном приложении. 
26.03.2021г я получил ответ, что все документы приняты.
В течение апреля так и не появилась возможность ввода показания счетчика ХВС в мобильном приложении. 
23.04.2021г я отправил в абонотдел показания счетчиков ХВС и ГВС и  повторно скан свидетельства о поверке. На следующий день перезвонил и уточнил, приняты ли показания и когда внесут возможность ввода показания счетчика ХВС. На мой вопрос оператор ответила, что показания приняты, а корректировка программы производится 2 раза в месяц и все будет исправлено. 
На настоящий момент, квитанции от Курскводоканал нет, в мобильном приложении при формировании квитанции нулевые показания, возможность ввода показаний счетчика ХВС в приложении отсутствует.
Хотелось бы, чтобы абонотдел реагировал лучше относился к своим клиентам и реагировал на их обращения.",Некачественное водоснабжение многоквартирного дома,Администрация города Курска,3,Poor water supply in an apartment building
758,"Hello, the courtyard of the house 14 and 12 on Engels Street is in an emergency situation. This also applies to the adjacent territory, which belongs to the socially significant. The courtyard of house 14 is overgrown with huge trees that lean to the ground from time to time, there is a playground, parking nearby, an Engels 14 understudy passes through the local area, which in the event of a fall of branches or the tree itself will be completely blocked, and ambulances run there daily, every minute. Nearby there is a blood transfusion station, an ambulance station, kindergartens and a school directly opposite the indicated houses. I ask you to cut emergency branches in the courtyard of house 14 and around its perimeter, as well as pay attention to the understudy and also file. Branches interfere and create the likelihood of an emergency with any gusts of wind. The balconies that overlook the understudy also suffer. Also, the entire street of pioneers is in disrepair. Although the traffic load on it is no less than on more central streets due to its social significance. Dips in the asphalt, pits that only grow with every rain. Asphalt is simply washed off, this creates the conditions for a car to fall underground or a simple but unpleasant accident. On this road there are 2 schools, kindergartens, a antenatal clinic, a regional children's hospital, a post office and much more. I am attaching a photo of the situation with trees and the condition of the asphalt surface. now it has become a place for children to play. Although this is the territory of the school! Please pay attention to these problems and finally take up the forgotten, but in demand and significant street,","<p>Здравствуйте, двор дома 14 и 12 по улице энгельса находится в аварийной &nbsp;ситуации. Это касается и прилегающей &nbsp;территории,которая относится &nbsp;к социальной значимой.&nbsp;</p><p>Двор дома 14 зарос огромными деревьями, которые кренятся к земле от времени,рядом детская площадка,парковка,по придомовой территории проходит дублер энгельса 14,который в случае падения веток или самого дерева будет полностью перекрыт,а там ежедневно,ежеминутно курсируют скорые. Рядом находится станция переливания крови,станция скорой помощи,детские сады и школа прямо напротив указанных домов.&nbsp;</p><p>Прошу произвести спил аварийных веток &nbsp;во дворе дома 14 и вокруг его периметра,а так же обратить внимание на дублер и также произвести &nbsp;опиловку. Ветки мешают и создают верояность чп при любых порывах ветра. Страдают также балконы,которые выходят на дублер.&nbsp;</p><p>Так же в аварийном состоянии находится вся улица пионеров. Хотя транспортная нагрузка на нее не меньше,чем на более центральные улицы в виду социальной значимости.&nbsp;</p><p>Провалы в асфальте,ямы,которые только растут с каждым дождем. Асфальт просто смывается,это создаёт условия для провала в авто под землю или простого,но неприятного дтп. На этой дороге находятся 2 школы,сады,женская консультация,областная детская больница,почта &nbsp;и многое другое.</p><p>Фото ситуации &nbsp;с деревьями и состоянием асфальтного покрытия прилагаю.</p><p>Стоит так де обратить внимание на центральный вход школы 17,он просто перекрыт упавшим аварийным деревом,которое теперь стало местом для игр детей.</p><p>Хотя это территория школы!</p><p>Прошу обратить внимание на указанные проблемы и наконец-то &nbsp;заняться забытой,но востребованной и значимой улицей,в противном случае можно жождаться причинения вреда здоровью граждан и детей.</p>",Аварийные деревья,Комитет городского хозяйства города Курска,3,emergency trees
2751,dry trees,Сухие деревья,Аварийные деревья,Комитет городского хозяйства города Курска,3,emergency trees
395,Hello! It is necessary to restore the blind area around the perimeter of the house. The current state cannot even be called satisfactory. Precipitation falls under the foundation of the house and destroys it. Actually in the photo one of the sides of this house,<p>Здравствуйте! Необходимо восстановить отмостку по периметру дома. Текущее состояние нельзя назвать даже удовлетворительным. Осадки попадают под фундамент дома и разрушают его. Собственно на фото одна из сторон данного дома</p>,Несвоевременный (некачественный) текущий ремонт многоквартирного дома,Государственная жилищная инспекция Курской области,3,Untimely (poor-quality) maintenance of an apartment building
1807,"During the week, unpleasant smells of sewerage are felt.",<p>На протяжении недели ощущаются неприятные запахи канализации.&nbsp;</p>,Неприятные запахи,Комитет жилищно-коммунального хозяйства города Курска,16,Unpleasant odors
607,Hello. Open hatch covered with plywood,<p>Здравствуйте. &nbsp;Открытый люк прикрыт фанерой</p>,Отсутствие люков на коммуникационных колодцах,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3,Lack of hatches on communication wells
2078,"After the repair of the road, all the entrances along Uritsky Street were broken. The places of asphalt samples are not sealed, which will lead to further destruction of the canvas!","После ремонта дороги остались разбиты все въезды вдоль улицы Урицкого . Не заделаны места проб асфальта , что приведёт к дальнейшему разрушению полотна!",Несвоевременное восстановление нарушенного благоустройства после проведения ремонтных работ,Администрация города Курска,3,Untimely restoration of disturbed landscaping after repair work
326,"packs of dogs, because it is impossible to pass by, near the hotel and the old market, In the market where the wholesalers huge dogs jump out unexpectedly. and school number 2 and st. Gas Lane, on the territory of PMK-3, near FOKOT, at school No. 3, there are just darkness of dogs. Walking is scary. And some have to let the child go there for training. Just because they're spayed doesn't mean they won't bite! In the iceberg area Kirov st. Cossack children do not go to school rush","<p><span style=`background-color:rgb(255,255,255);color:rgb(0,0,0);`>собачьи стаи, ведь пройти мимо невозможно, около гостиницы и старого рынка, На рынке где оптовка огромные собаки выскакивают кидаються неожиданно. и школы №2 и ул. &nbsp;Газовый переулок, на территории ПМК-3, Возле ФОКОТа, на &nbsp;школе №3 собак просто тьма. Ходить страшно. А некоторым приходится ребёнка туда отпускать на тренировки. Если они стерилизованные, это не значит, что они не укусят! </span>В районе айсберга ул. Кирова ул. Казацкая детям не пройти в школу кидаются</p>",Безнадзорные животные,Администрация г. Обояни,1,stray animals
2740,"I ask you to install the boxes at the public transport stop Kt Rodina in the center, as there are no boxes, but according to the law they should be.","Прошу установить урны на остановке общественного транспорта Кт Родина в центр, тк урны отсутствуют, а по закону должны быть.","Неудовлетворительное содержание фасадов зданий и сооружений, общественных мест",Комитет дорожного хозяйства города Курска,3,"Unsatisfactory maintenance of facades of buildings and structures, public places"
2489,"Today, once again, for about 45 minutes, I was waiting for my minibus (more precisely, one of two: 254 or 267) at the PATP2 stop. In the heat The driver said that there were two of them on the route instead of seven. Maybe it's time to break off relations with such a carrier of Russian citizens in Kursk? Or is it ok? Then let them print the schedule of minibuses, once an hour - is this just the level of commuter trains, and not urban transport, which also increased the payment by 2 rudders? For what? For the heat strokes of the Kuryans?","Сегодня в очередной раз около 45 минут ждал свою маршрутку (точнее одну из двух: 254 или 267) на остановке ПАТП2. На жаре. Водитель сказал, что их на маршруте двое вместо семи. Может пора разорвать отношения с таким перевозчиком граждан РФ в Курске? Или это нормально? Тогда пусть печатают график движения маршруток, раз в час - это как раз уровень пригородных электричек, а не городского транспорта, которому ещё и повысили оплату на 2 руля? За что? За тепловые удары курян?",Недостаточное количество транспорта на маршруте при осуществлении муниципальных (пригородных) перевозок,Департамент пассажирского транспорта города Курска,8,Insufficient amount of transport on the route in the implementation of municipal (suburban) transportation
958,"There are a lot of dogs at the intersection of Magistralnaya and Stroitelnaya streets near the children's equestrian sports school - a whole pack. Dogs began to attack passing people, to frighten children. Take action against those who feed and breed dogs irresponsibly. Instead of sterilizing and placing in good hands. We often get that until trouble happens, no one cares, but I think that it is not worth waiting for an attack on a child. Please take action!!","<p>На перекрестке улиц Магистральная и Строительная возле детской Конно - спортивной школы очень много собак - целая стая . Собаки начали нападать на проходящих людей, пугать детей . Примите меры к тем , кто кормит и безответственно разводит собак . Вместо того, чтобы стерилизовать и пристраивать в добрые руки . У нас часто получается , что пока не случилось беды - дела никому нет , но считаю , что ждать нападения на ребенка не стоит . Примите пожалуйста меры!!</p>",Безнадзорные животные,Комитет городского хозяйства города Курска,1,stray animals
2867,"REPORT AN ISSUE SUGGEST AN IDEA My Messages All Ideas My Ideas News Independent Evaluation Poll Closed Poor quality renovation of an apartment building Message #: 97217 Published: 22:06 10/06/2021 Moderator's score: Clarified Private person's rating: Undetermined Region: Kursk Oblast Kursk : Seimsky district Closed Storm sewerage Message №: 77465 State housing inspection of the Kursk region Responsible person Dear Tatyana, hello! According to the information of the managing organization, during the period from June 12 to 14, 2021, the current repair of the roof was carried out. On the issue of compensation for damage from flooding apartments, you need to apply to your management organization, in case of refusal, this issue is resolved in a lawsuit. Published: 05:02 15.06.","СООБЩИТЬ О ПРОБЛЕМЕ   ПРЕДЛОЖИТЬ ИДЕЮ   Мои сообщения  Все идеи  Мои ид   Новости  Независимая оценка  Опрос  Закрыто   Некачественный капитальный ремонт многоквартирного дома   Сообщение №: 97217 Опубликовано: 22:06 10.06.2021   Оценка модератора: Разъяснено   Оценка частного лица: Не определено   Региoн: Курская область   г. Курск: Сеймский округ   Закрыто   Ливневая канализация   Сообщение №: 77465  Государственная жилищная инспекция Курской области Ответственное лицо    Уважаемая Татьяна, здравствуйте! По информации управляющей организации в период с 12 по 14 июня 2021г был произведен текущий ремонт кровли. По вопросу возмещения ущерба от залития квартир, Вам необходимо обратиться с заявлением в Вашу управляющую организацию, в случае отказа, данный вопрос решается в судебном процессе.   Опубликовано: 05:02 15.06.2021 Крыша не отремонтирована фасад разрушается сколько лет уже можно вести переписку поедем на 1 канал",Ливневая канализация,Государственная жилищная инспекция Курской области,3,Storm sewer
721,"Previously, the appeal “PIT AND POTCHES ON INTERNAL ROADWAYS AND SIDEWAYS IN THE REGIONS OF APARTMENT BUILDINGS THE DECISION IS CONFIRMED” was considered, in which the answer was given that the pit would be filled in as soon as possible .. It took a little more than a month, but the pit remained unburied! Published: 21 Jun 2021 14:59 Deadline: 21 Jul 2021 14:59 Closed: 23 Jun 2021 10:35 Message No.: 73286“Responsible Administration of the Kurchatovsky DistrictHello, in response to your request, the administration of the village named after K. Liebknecht informs that according to the information of the State Unitary Enterprise “Kurskoblzhilkomkhoz” at the specified address, work was carried out on the heating system and in connection with which the soil was opened. At present, these works have been completed; work to bring the land plot into the required sanitary condition will be carried out as soon as possible. However, in 2021, it is planned to carry out 3 stages of work to modernize the heating network of the village, which will be held along the street. Mira and st. October.23 Jun 2021 10:34”","<p>Ранее рассматривалось обращение “<a href=`https://vmeste46.ru/problems/typical/777`><strong>ЯМЫ И ВЫБОИНЫ НА ВНУТРИДВОРОВЫХ ПРОЕЗДАХ И ТРОТУАРАХ В РАЙОНАХ МНОГОКВАРТИРНЫХ ДОМОВ</strong></a><strong>&nbsp;</strong><span style=`background-color:rgb(73,181,40);color:rgb(255,255,255);`><strong>РЕШЕНИЕ ПОДТВЕРЖДЕНО</strong></span>”, в котором был дан ответ, что в кратчайшие сроки яму закапают.. Прошло чуть больше месяца, но яма осталась незакопанной!&nbsp;<br><span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>Опубликовано:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>21 Июн 2021&nbsp;14:59</strong></span><br><span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>Крайний срок:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>21 Июл 2021&nbsp;14:59</strong></span><br><span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>Закрыто:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>23 Июн 2021&nbsp;10:35</strong></span><br><span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>Сообщение №:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>73286</strong></span><br><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>“</strong></span>Ответственный <strong>Администрация Курчатовского района</strong></p><p style=`margin-left:0px;text-align:justify;`>Здравствуйте, на Ваше обращение администрация поселка имени К. Либкнехта сообщает, что по информации ГУПКО «Курскоблжилкомхоз» по указанному адресу проводились работы на теплосети и в связи с чем вскрывался грунт. В настоящее время данные работы окончены, работы по приведению земельного участка в необходимое санитарное состояние будут проведены кратчайшие сроки.&nbsp;</p><p style=`margin-left:0px;text-align:justify;`>Однако, в 2021 году планируется проведение 3 этапа работ по модернизации тепловой сети поселка, который будет проходить по ул. Мира и ул. Октябрьская.</p><p style=`margin-left:0px;text-align:justify;`><br data-cke-filler=`true`></p><p>23 Июн 2021&nbsp;10:34<span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>”</strong></span></p>",«Замороженная» стройка,Администрация Курчатовского района,11,"""Frozen"" building"
1325,"In November, trees were sawn down along Chernyakhovsky and Krasnopolyanskaya streets. Huge piles of branches have not yet been removed. They lie right next to the descent to the pedestrian crossing. It is problematic to drive from the road with a stroller to the sidewalk, as a lot of branches interfere. I ask the responsible persons to remove this garbage.","<p>В ноябре по улице Черняховского и Краснополянской опилили деревья. Огромные кучи веток до &nbsp;сих пор не убраны. Лежат прямо рядом со спуском к пешеходному переходу. С дороги заезжать с коляской на тротуар проблематично, так как мешается куча веток. Прошу убрать ответственных лиц этот мусор.</p>",Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,Комитет городского хозяйства города Курска,3,Collection and removal of municipal solid waste in areas of apartment buildings that do not meet established standards
427,"To my message under No. 88204 dated 14.04.21 (on the website) regarding an unauthorized landfill for domestic waste, a response was received that an investigation would be carried out, the landfill would be liquidated. Throughout this time, entry into this territory has not yet been restricted and the landfill continues to grow exponentially! Neither me personally nor the neighbors during this time, no one has turned to investigate the lawlessness that is taking place. Many trees have been felled, a ravine is being filled up , through which melt and rain water from the city flows like a mountain river, a stench ... when will any SPECIFIC actions from the authorities follow this arbitrariness and vandalism?","<p>На моё &nbsp;сообщение под №88204 от 14.04 .21(на сайте) &nbsp;по поводу несанкционированного полигона бытовых отходов ,был получен ответ о том,что будет проведено расследование,свалка будет ликвидирована. На протяжении всего этого времени до сих пор не ограничен въезд на эту территорию и свалка продолжает расти в геометрической прогрессии!Ни ко мне лично ,ни к соседям за это время так никто и не обратился по поводу расследования происходящего беспредела.Повалено множество деревьев ,засыпается овраг ,через который горной рекой текут талые и дождевые воды с города,зловоние…когда последуют какие-то КОНКРЕТНЫЕ действия со стороны властей данному произволу и вандализму?</p>",Несанкционированные свалки твёрдых бытовых отходов,Комитет природных ресурсов Курской области,16,Unauthorized solid waste dumps
